,pub_date,abstract,lead_paragraph,snippet,headline.main,text,Polarity,Sentiment,NLP_fin-sentiment-text,finbert-sentiment-score,finbert-bin
0,2022-10-25 20:37:03+00:00,"Google’s parent company reported earnings that were below analysts’ expectations, bringing in $13.9 billion in profit on $69.1 billion in sales.","Even Alphabet, the parent company of Google and one of the internet’s most entrenched businesses, was not immune to the punishing blows of the global economy and a sharp slowdown in the online advertising that is essential to the company’s profits.","Google’s parent company reported earnings that were below analysts’ expectations, bringing in $13.9 billion in profit on $69.1 billion in sales.",Alphabet’s Profit Drops 27 Percent From a Year Earlier,"Google’s parent company reported earnings that were below analysts’ expectations, bringing in $13.9 billion in profit on $69.1 billion in sales. Even Alphabet, the parent company of Google and one of the internet’s most entrenched businesses, was not immune to the punishing blows of the global economy and a sharp slowdown in the online advertising that is essential to the company’s profits. Google’s parent company reported earnings that were below analysts’ expectations, bringing in $13.9 billion in profit on $69.1 billion in sales. Alphabet’s Profit Drops 27 Percent From a Year Earlier ",-0.478889447854238,0.5048972930799135,-0.9988284707069396,-0.9738481044769287,-2
1,2022-10-26 22:47:44+00:00,A series of quarterly earnings reports is showing that even Silicon Valley’s most powerful companies are feeling the impact of inflation and rising interest rates.,"Google this week reported a steep decline in profits. Social media companies such as Meta said that advertising sales — the heart of their businesses — have rapidly cooled off. And Microsoft, perhaps the tech industry’s most reliable performer, predicted a slowdown through at least the end of the year.",A series of quarterly earnings reports is showing that even Silicon Valley’s most powerful companies are feeling the impact of inflation and rising interest rates.,Tech’s Biggest Companies Are Sending Worrying Signals About the Economy,"A series of quarterly earnings reports is showing that even Silicon Valley’s most powerful companies are feeling the impact of inflation and rising interest rates. Google this week reported a steep decline in profits. Social media companies such as Meta said that advertising sales — the heart of their businesses — have rapidly cooled off. And Microsoft, perhaps the tech industry’s most reliable performer, predicted a slowdown through at least the end of the year. A series of quarterly earnings reports is showing that even Silicon Valley’s most powerful companies are feeling the impact of inflation and rising interest rates. Tech’s Biggest Companies Are Sending Worrying Signals About the Economy ",0.0270644913673601,0.9797381850488422,-0.9985244870185852,-0.9691761136054993,-2
2,2022-10-20 15:05:58+00:00,"Ken Paxton, the state attorney general, said products like Google Photos and the Nest camera had violated Texans’ privacy rights.","The Texas attorney general filed a privacy lawsuit against Google on Thursday, accusing the internet company of collecting Texans’ facial and voice recognition information without their explicit consent.","Ken Paxton, the state attorney general, said products like Google Photos and the Nest camera had violated Texans’ privacy rights.",Texas Sues Google for Collecting Biometric Data Without Consent,"Ken Paxton, the state attorney general, said products like Google Photos and the Nest camera had violated Texans’ privacy rights. The Texas attorney general filed a privacy lawsuit against Google on Thursday, accusing the internet company of collecting Texans’ facial and voice recognition information without their explicit consent. Ken Paxton, the state attorney general, said products like Google Photos and the Nest camera had violated Texans’ privacy rights. Texas Sues Google for Collecting Biometric Data Without Consent ",-0.880556631718703,0.9023201420469652,-0.874475359916687,-0.7791162133216858,-1
3,2022-10-28 12:06:38+00:00,"The social network’s new owner has just a few days to determine whether to pay millions to employees, or get rid of them.",Elon Musk closes his purchase of Twitter and fires several top executives. Follow for the latest news updates.,"The social network’s new owner has just a few days to determine whether to pay millions to employees, or get rid of them.",Elon Musk Faces Another Big Decision at Twitter,"The social network’s new owner has just a few days to determine whether to pay millions to employees, or get rid of them. Elon Musk closes his purchase of Twitter and fires several top executives. Follow for the latest news updates. The social network’s new owner has just a few days to determine whether to pay millions to employees, or get rid of them. Elon Musk Faces Another Big Decision at Twitter ",-0.4737853802808827,0.6934394329997667,-0.99964439868927,-0.8319817185401917,-1
4,2022-10-25 18:24:56+00:00,Apple has rejected Spotify’s new app three times from its App Store. It is the latest in a series of confrontations between the two companies.,"Daniel Ek, the chief executive of Spotify, wants his company to be the premier outlet in the world of audio. But when he pushed the streaming-subscription service beyond music and podcasts into audiobooks, he ran into a familiar obstacle: Apple.",Apple has rejected Spotify’s new app three times from its App Store. It is the latest in a series of confrontations between the two companies.,Spotify Wants to Get Into Audiobooks but Says Apple Is in the Way,"Apple has rejected Spotify’s new app three times from its App Store. It is the latest in a series of confrontations between the two companies. Daniel Ek, the chief executive of Spotify, wants his company to be the premier outlet in the world of audio. But when he pushed the streaming-subscription service beyond music and podcasts into audiobooks, he ran into a familiar obstacle: Apple. Apple has rejected Spotify’s new app three times from its App Store. It is the latest in a series of confrontations between the two companies. Spotify Wants to Get Into Audiobooks but Says Apple Is in the Way ",0.4702158791986701,0.492232058072683,-0.6489332914352417,-0.8515452742576599,-1
5,2022-10-13 19:26:02+00:00,Shares of the SPAC trying to merge with Donald Trump’s social media company rose on Thursday after the decision.,The shares of the cash-rich special purpose acquisition company that seeks to merge with former President Donald J. Trump’s social media company surged on Thursday after Google said it would allow Trump Media & Technology Group’s flagship product to appear in its app store.,Shares of the SPAC trying to merge with Donald Trump’s social media company rose on Thursday after the decision.,Google’s Move to Include Truth Social in App Store Buoys Investor Confidence,Shares of the SPAC trying to merge with Donald Trump’s social media company rose on Thursday after the decision. The shares of the cash-rich special purpose acquisition company that seeks to merge with former President Donald J. Trump’s social media company surged on Thursday after Google said it would allow Trump Media & Technology Group’s flagship product to appear in its app store. Shares of the SPAC trying to merge with Donald Trump’s social media company rose on Thursday after the decision. Google’s Move to Include Truth Social in App Store Buoys Investor Confidence ,-0.8246215052896047,0.5904498319683835,0.9996722936630248,0.8867480158805847,1
6,2022-10-12 17:00:18+00:00,"Developed with Fitbit, Google’s first smart watch takes a page from Apple’s playbook by requiring loyalty to its brand.","It’s 2022, and Google finally has a response to the Apple Watch. It’s the Pixel Watch, which is essentially a Fitbit designed to work only with Android phones and seemingly a direct counterattack to Apple’s wearable that works only with iPhones.","Developed with Fitbit, Google’s first smart watch takes a page from Apple’s playbook by requiring loyalty to its brand.",The Google Watch Is Here. But You’d Better Love Android.,"Developed with Fitbit, Google’s first smart watch takes a page from Apple’s playbook by requiring loyalty to its brand. It’s 2022, and Google finally has a response to the Apple Watch. It’s the Pixel Watch, which is essentially a Fitbit designed to work only with Android phones and seemingly a direct counterattack to Apple’s wearable that works only with iPhones. Developed with Fitbit, Google’s first smart watch takes a page from Apple’s playbook by requiring loyalty to its brand. The Google Watch Is Here. But You’d Better Love Android. ",0.9107322338673478,0.7345787578944549,-0.9994239807128906,0.0,0
7,2022-09-29 18:01:39+00:00,"After nearly three years, Google has decided to winnow its video game ambitions because Stadia was less popular than it had anticipated.","Google said it would shutter the video game streaming service Stadia, its answer to Microsoft’s Xbox and Sony’s PlayStation video game consoles, in another sign of Google’s drive to be leaner amid fears of an economic slowdown.","After nearly three years, Google has decided to winnow its video game ambitions because Stadia was less popular than it had anticipated.",Google to Shut Down Stadia Video Game Streaming Service,"After nearly three years, Google has decided to winnow its video game ambitions because Stadia was less popular than it had anticipated. Google said it would shutter the video game streaming service Stadia, its answer to Microsoft’s Xbox and Sony’s PlayStation video game consoles, in another sign of Google’s drive to be leaner amid fears of an economic slowdown. After nearly three years, Google has decided to winnow its video game ambitions because Stadia was less popular than it had anticipated. Google to Shut Down Stadia Video Game Streaming Service ",0.5156097143824578,0.9859052966739013,-0.9863585829734802,-0.9490109086036682,-2
8,2022-09-28 17:25:57+00:00,"From more photo-based results to neighborhood “vibe” checks, the company announced updates meant to keep two of its most popular products on trend.","Google’s search engine looks a little different these days. Results pages are now often filled with shopping items, maps, news articles, information bulletins and ads before people can scroll to lists of results — the blue links that became synonymous with the service.","From more photo-based results to neighborhood “vibe” checks, the company announced updates meant to keep two of its most popular products on trend.",Google to Make Search and Maps More ‘Immersive’,"From more photo-based results to neighborhood “vibe” checks, the company announced updates meant to keep two of its most popular products on trend. Google’s search engine looks a little different these days. Results pages are now often filled with shopping items, maps, news articles, information bulletins and ads before people can scroll to lists of results — the blue links that became synonymous with the service. From more photo-based results to neighborhood “vibe” checks, the company announced updates meant to keep two of its most popular products on trend. Google to Make Search and Maps More ‘Immersive’ ",0.4628047341426569,0.73954754842976,-0.9944525361061096,0.0,0
9,2022-09-29 09:00:28+00:00,"Online, Iranians engage in a world their leaders don’t want them to see.","In the physical world, Iran’s authoritarian leaders answer to no one. They try, but often fail, to keep Iranians away from Western entertainment and news. Thanks to their rules, women are required to shroud their hair with head scarves, their bodies with loose clothing.","Online, Iranians engage in a world their leaders don’t want them to see.","Despite Iran’s Efforts to Block Internet, Technology Has Helped Fuel Outrage","Online, Iranians engage in a world their leaders don’t want them to see. In the physical world, Iran’s authoritarian leaders answer to no one. They try, but often fail, to keep Iranians away from Western entertainment and news. Thanks to their rules, women are required to shroud their hair with head scarves, their bodies with loose clothing. Online, Iranians engage in a world their leaders don’t want them to see. Despite Iran’s Efforts to Block Internet, Technology Has Helped Fuel Outrage ",-0.8293714814555149,0.767959013109827,0.7344427704811096,0.0,0
